,Time,Correlation
36,00:03:31,1.4728490114212036
18,00:20:01,1.304184913635254
20,01:40:01,1.1117674112319946
33,00:21:01,1.0925285816192627
8,02:00:01,0.986925482749939
9,02:22:31,0.9520381093025208
24,03:07:31,0.9489583373069763
1,02:27:31,0.9132976531982422
23,01:15:01,0.9123808741569519
17,00:32:31,0.9067610502243042
30,00:18:31,0.8959692120552063
31,00:08:31,0.8847708106040955
32,00:26:01,0.726658821105957
15,00:57:31,0.7247125506401062
14,03:12:31,0.7134808897972107
27,00:37:31,0.6986182332038879
34,00:06:01,0.6880449056625366
25,00:50:01,0.6775535345077515
11,02:35:01,0.6758311986923218
0,02:15:01,0.6617266535758972
5,00:40:01,0.6145761609077454
29,00:01:01,0.6133997440338135
7,02:10:01,0.5971830487251282
28,00:23:31,0.5892476439476013
4,00:52:31,0.5759996771812439
16,03:37:31,0.5670729875564575
6,00:27:31,0.5659588575363159
35,00:11:01,0.5564054846763611
19,02:05:01,0.5456662178039551
2,01:42:31,0.5450198650360107
13,01:10:01,0.5369018316268921
22,01:27:31,0.523995041847229
3,03:17:31,0.5197732448577881
26,03:32:31,0.5138210654258728
21,02:42:31,0.5099557638168335
12,03:00:01,0.5097741484642029
10,01:47:31,0.5003696084022522
