,Time,Correlation
31,03:29:53,7.724711894989014
0,03:11:16,5.888724327087402
15,01:23:13,5.8700666427612305
48,00:51:28,5.279168605804443
32,02:30:22,4.765361785888672
27,03:06:22,4.593681335449219
23,00:33:31,4.516817569732666
44,01:16:48,4.478028774261475
29,03:18:14,4.369678497314453
41,04:33:41,4.261322498321533
19,00:58:25,4.25711727142334
3,02:38:21,4.239521503448486
40,01:40:03,4.23670768737793
46,01:03:42,4.213477611541748
37,04:07:30,4.102717876434326
36,02:05:29,4.090606212615967
24,05:40:36,3.911165237426758
22,05:28:25,3.90749454498291
33,03:42:37,3.8840508460998535
10,04:12:43,3.864525079727173
7,02:13:16,3.784302234649658
30,02:43:09,3.713538885116577
18,05:04:06,3.696643352508545
16,04:49:28,3.6462604999542236
38,01:53:26,3.5859084129333496
14,04:38:59,3.497884750366211
26,00:13:03,3.4636688232421875
20,05:15:48,3.3541510105133057
9,02:00:51,3.3535633087158203
2,03:23:44,3.3430728912353516
13,01:34:25,3.309554100036621
6,03:48:32,3.217129945755005
21,00:45:11,3.182806968688965
11,01:48:22,3.16155743598938
35,03:55:45,3.1015145778656006
25,00:20:33,3.0878591537475586
39,04:21:43,3.0842034816741943
28,02:56:38,3.0788798332214355
42,01:27:25,3.0661184787750244
17,01:10:44,3.026379108428955
4,03:35:11,2.9254074096679688
34,02:18:31,2.8618650436401367
47,05:09:59,2.819955825805664
49,05:24:08,2.6499969959259033
45,04:57:57,2.6132559776306152
12,04:26:00,2.596754789352417
43,04:46:05,2.528243064880371
1,02:50:44,2.3031678199768066
8,04:01:06,2.271512985229492
5,02:25:41,1.8847392797470093
