,Time,Correlation
15,01:09:47,1.5329946279525757
3,01:12:03,0.9261462688446045
5,01:39:17,0.8675267696380615
21,01:17:55,0.7958077192306519
18,01:52:42,0.7667065262794495
1,01:23:36,0.757665753364563
0,01:43:09,0.741064190864563
16,01:01:25,0.7346615791320801
11,01:34:00,0.7331172227859497
13,01:21:05,0.7275201082229614
7,01:52:03,0.7040545344352722
10,01:02:49,0.692808210849762
17,01:42:21,0.6763685941696167
14,01:59:49,0.6723545789718628
22,01:06:03,0.6716693639755249
8,01:16:51,0.646443247795105
19,02:07:12,0.6377348899841309
2,01:57:18,0.6264910697937012
12,01:45:10,0.6206589937210083
9,02:03:40,0.6007939577102661
20,01:31:47,0.5229159593582153
4,02:09:03,0.5178495049476624
6,01:29:28,0.5120220184326172
