,Time,Correlation
10,01:33:26,2.0324509143829346
3,01:12:02,0.8201150894165039
1,01:23:38,0.7810966968536377
16,01:52:58,0.7565360069274902
14,01:08:15,0.7488672137260437
0,01:43:07,0.700774610042572
12,01:21:07,0.6710928082466125
5,01:39:16,0.6646000742912292
11,01:46:01,0.6637178063392639
6,01:52:03,0.6266555786132812
13,01:59:05,0.5944570302963257
8,02:04:45,0.5874897241592407
15,01:01:25,0.5567158460617065
17,01:17:56,0.5486326813697815
9,01:04:37,0.5445557236671448
7,01:16:09,0.520514190196991
4,02:09:05,0.5196838974952698
2,01:57:18,0.5165823698043823
