,Time,Correlation
15,00:37:31,1.5329946279525757
3,00:40:01,0.9261462688446045
5,01:07:31,0.8675267696380615
21,00:47:31,0.7958077192306519
18,01:22:31,0.7667065262794495
1,00:52:31,0.757665753364563
0,01:12:31,0.741064190864563
16,00:30:01,0.7346615791320801
11,01:02:31,0.7331172227859497
13,00:50:01,0.7275201082229614
7,01:20:01,0.7040545344352722
10,00:32:31,0.692808210849762
17,01:10:01,0.6763685941696167
14,01:27:31,0.6723545789718628
22,00:35:01,0.6716693639755249
8,00:45:01,0.646443247795105
19,01:35:01,0.6377348899841309
2,01:25:01,0.6264910697937012
12,01:15:01,0.6206589937210083
9,01:32:31,0.6007939577102661
20,01:00:01,0.5229159593582153
4,01:37:31,0.5178495049476624
6,00:57:31,0.5120220184326172
