,Time,Correlation
10,01:02:31,2.0324509143829346
3,00:40:01,0.8201150894165039
1,00:52:31,0.7810966968536377
16,01:22:31,0.7565360069274902
14,00:37:31,0.7488672137260437
0,01:12:31,0.700774610042572
12,00:50:01,0.6710928082466125
5,01:07:31,0.6646000742912292
11,01:15:01,0.6637178063392639
6,01:20:01,0.6266555786132812
13,01:27:31,0.5944570302963257
8,01:32:31,0.5874897241592407
15,00:30:01,0.5567158460617065
17,00:47:31,0.5486326813697815
9,00:32:31,0.5445557236671448
7,00:45:01,0.520514190196991
4,01:37:31,0.5196838974952698
2,01:25:01,0.5165823698043823
